DATE,DOY,YEAR,QUAG,PLRA
2019-01-21,21,2019,0.5447598,0.3771848
2019-02-11,42,2019,0.486658,0.3192061
2019-02-16,47,2019,0.4704739,0.3262538
2019-02-18,49,2019,0.5578625,0.3621217
2019-02-22,53,2019,0.5141523,0.3517616
2019-02-25,56,2019,0.5064753,0.3250914
2019-03-14,73,2019,0.5622167,0.3848367
2019-03-15,74,2019,0.5600201,0.386918
2019-03-17,76,2019,0.5852702,0.4184056
2019-03-24,83,2019,0.5745829,0.4349292
2019-03-26,85,2019,0.6004719,0.4564336
2019-04-10,100,2019,0.5831978,0.5268019
2019-04-22,112,2019,0.5651836,0.5359791
2019-04-23,113,2019,0.6467311,0.6046533
2019-05-27,147,2019,0.5939005,0.5895553
2019-05-28,148,2019,0.6383652,0.6270257
2019-07-01,182,2019,0.553109,0.5246524
2019-07-02,183,2019,0.5891021,0.579678
2019-07-24,205,2019,0.5869312,0.5580569
2019-07-26,207,2019,0.6022779,0.5991616
2019-07-27,208,2019,0.5951582,0.5971826
2019-08-08,220,2019,0.6001343,0.5889373
2019-08-09,221,2019,0.5867742,0.5983351
2019-08-21,233,2019,0.5731731,0.569953
2019-08-22,234,2019,0.60874,0.6050775
2019-08-26,238,2019,0.5582593,0.56461
2019-08-27,239,2019,0.5726619,0.5785935
2019-08-30,242,2019,0.5534483,0.5659384
2019-09-08,251,2019,0.5704801,0.582791
2019-09-09,252,2019,0.5550664,0.5851999
2019-09-11,254,2019,0.5797131,0.5799721
2019-09-14,257,2019,0.5569619,0.5666762
2019-09-18,261,2019,0.5758685,0.5928562
2019-09-21,264,2019,0.5717114,0.5776303
2019-09-23,266,2019,0.5989951,0.60526
2019-09-25,268,2019,0.5939738,0.5859456
2019-10-01,274,2019,0.5387017,0.5617595
2019-10-04,277,2019,0.5536695,0.5773622
2019-10-08,281,2019,0.5179897,0.5294068
2019-10-11,284,2019,0.5444607,0.5347372
2019-10-12,285,2019,0.5247962,0.5464186
2019-10-18,291,2019,0.5140943,0.5489139
2019-10-19,292,2019,0.509099,0.5072114
2019-10-21,294,2019,0.5145379,0.5480391
2019-10-22,295,2019,0.5302976,0.5364307
2019-10-23,296,2019,0.4910754,0.5293151
2019-10-24,297,2019,0.5160335,0.5254219
2019-10-26,299,2019,0.5873,0.585606
2019-10-28,301,2019,0.5348021,0.5329836
2019-10-29,302,2019,0.5352513,0.5497098
2019-11-01,305,2019,0.5421055,0.5466036
2019-11-01,305,2019,0.5252975,0.5234367
2019-11-04,308,2019,0.4743129,0.489891
2019-11-09,313,2019,0.5079154,0.5200347
2019-11-10,314,2019,0.5080905,0.5147154
2019-11-12,316,2019,0.523337,0.5276027
2019-11-24,328,2019,0.5048492,0.5226312
2020-01-18,18,2020,0.5555076,0.3885306
2020-01-25,25,2020,0.5234834,0.3574268
2020-02-02,33,2020,0.5706763,0.3846318
2020-02-04,35,2020,0.5675257,0.3165197
2020-02-07,38,2020,0.5929491,0.3806201
2020-02-10,41,2020,0.5280336,0.3438686
2020-02-14,45,2020,0.5650416,0.3352406
2020-02-14,45,2020,0.561856,0.3923073
2020-02-15,46,2020,0.5855559,0.3763871
2020-02-23,54,2020,0.5654942,0.3985965
2020-02-26,57,2020,0.5621961,0.3876434
2020-03-03,63,2020,0.552963,0.4748851
2020-03-18,78,2020,0.546339,0.5357721
2020-03-27,87,2020,0.5650417,0.5313531
2020-03-28,88,2020,0.546846,0.5028481
2020-03-29,89,2020,0.5730879,0.4929969
2020-03-30,90,2020,0.5989176,0.54873
2020-04-03,94,2020,0.573856,0.5053122
2020-04-11,102,2020,0.5501557,0.4661736
2020-04-24,115,2020,0.5999896,0.4758647
2020-04-27,118,2020,0.5904994,0.474484
2020-04-28,119,2020,0.535145,0.4255631
2020-05-01,122,2020,0.5805575,0.45079
2020-05-02,123,2020,0.5998417,0.4831775
2020-05-03,124,2020,0.6102915,0.4546313
2020-05-06,127,2020,0.6385894,0.4729481
2020-05-14,135,2020,0.6014973,0.4881999
2020-05-15,136,2020,0.5953434,0.4720411
2020-05-20,141,2020,0.658047,0.5068814
2020-05-21,142,2020,0.6018435,0.5161974
2020-05-21,142,2020,0.6023472,0.5094551
2020-05-25,146,2020,0.5964551,0.5239825
2020-06-07,159,2020,0.5810359,0.5823205
2020-06-09,161,2020,0.6086756,0.608772
2020-06-10,162,2020,0.5903607,0.5989133
2020-07-02,184,2020,0.6937565,0.664335
2020-07-04,186,2020,0.6285641,0.6238414
2020-07-07,189,2020,0.6602647,0.6550549
2020-07-08,190,2020,0.5967598,0.6316881
2020-07-10,192,2020,0.615571,0.6357806
2020-07-13,195,2020,0.6741694,0.6529832
2020-07-17,199,2020,0.5903884,0.6166524
2020-07-17,199,2020,0.5995215,0.6047023
2020-07-20,202,2020,0.5515741,0.5929599
2020-07-21,203,2020,0.6004252,0.5926947
2020-08-02,215,2020,0.5933651,0.6177495
2020-08-05,218,2020,0.5905584,0.6297762
2020-08-09,222,2020,0.6025433,0.6662945
2020-08-16,229,2020,0.5292952,0.6033359
2020-08-21,234,2020,0.5707641,0.6171658
2020-08-29,242,2020,0.5797116,0.6131717
2020-09-04,248,2020,0.5697065,0.604331
2020-09-23,267,2020,0.6020591,0.6166078
2020-10-01,275,2020,0.5769116,0.6177024
2020-10-02,276,2020,0.5439138,0.5871441
